flow_type,partner,product,reporter,Trade,Y_2013_IHS,Y_2014_IHS,Y_2015_IHS,Y_2016_IHS,Y_2017_IHS,Y_2018_IHS,Y_2019_IHS,YTD,YTD_2019,YTD_2020,updated_date
QTY,Bulgaria,Pipe and Tube Products,United States (For Domestic Consumption),IMP,0,0,0,3.95,0.08,0,0,Feb,0,0,06APR2020
QTY,Bulgaria,Stainless Products,United States (For Domestic Consumption),IMP,1.085,0,3.173,0,0.686,0,0,Feb,0,0,06APR2020
QTY,Brazil,All Steel Mill Products,United States (For Domestic Consumption),IMP,3777713.627,4565201.045,4879415.734,3908927.585,4676844.218,3987544.944,3830071.787,Feb,1241504.425,1170956.68,06APR2020
QTY,Brazil,Flat Products,United States (For Domestic Consumption),IMP,101765.975,489216.266,1071707.873,448290.038,364921.294,136432.2,237688.363,Feb,72324.698,55392.281,06APR2020
QTY,Brazil,Long Products,United States (For Domestic Consumption),IMP,104449.531,126391.284,155393.062,189476.719,300485.604,160713.963,143208.456,Feb,35857.187,27419.884,06APR2020
QTY,Brazil,Pipe and Tube Products,United States (For Domestic Consumption),IMP,61604.205,107860.518,110103.527,34843.457,214092.886,125182.661,90934.062,Feb,25285.25,28806.833,06APR2020
QTY,Brazil,Semi-Finished Products,United States (For Domestic Consumption),IMP,3498756.337,3829314.959,3525829.096,3212970.418,3778728.17,3552474.584,3345099.26,Feb,1104359.035,1056257.434,06APR2020
QTY,Brazil,Stainless Products,United States (For Domestic Consumption),IMP,11137.579,12418.018,16382.176,23346.953,18616.264,12741.536,13141.646,Feb,3678.255,3080.248,06APR2020
QTY,Belarus,All Steel Mill Products,United States (For Domestic Consumption),IMP,49457.741,74024.802,43205.606,40721.785,51152.366,46349.55,15507.202,Feb,2472.737,2629.672,06APR2020
QTY,Belarus,Long Products,United States (For Domestic Consumption),IMP,5051.142,8651.976,14372.739,37147.286,30683.354,6565.895,2645.375,Feb,398.942,315.402,06APR2020
QTY,Belarus,Pipe and Tube Products,United States (For Domestic Consumption),IMP,44406.599,65372.826,28832.867,3574.499,19035.181,39783.655,12861.827,Feb,2073.795,2314.27,06APR2020
QTY,Belarus,Stainless Products,United States (For Domestic Consumption),IMP,0,0,0,0,1433.831,0,0,Feb,0,0,06APR2020
QTY,Canada,All Steel Mill Products,United States (For Domestic Consumption),IMP,5060058.285,5563121.503,5347075.059,5214903.724,5792813.889,5658483.089,5057063.455,Feb,805695.116,970894.643,06APR2020
